x,y,alt,az,alt_err,az_err,sample_size,star_name,ra,dec,real_alt,real_az
1035.0,583.0,27.041076736656752,207.0279824664268,0.0,0.0,1.0,   Bet Pav,20h44m57.5s,-66d12m11s,27.148147760503466,207.03954526761706
793.0,815.0,23.42035831802129,146.10096463754508,0.0,0.0,1.0,          ,09h10m58.0s,-58d58m01s,23.366569333300216,146.06566858882815
757.0,319.0,58.60145113275698,305.20662253319125,0.0,0.0,1.0, 31Eta Cet,01h08m35.4s,-10d10m56s,58.71117948726565,305.25957284398635
585.0,718.0,35.85509146751904,104.22719894168227,0.0,0.0,1.0, 22Sig CMa,07h01m43.1s,-27d56m05s,35.92894054311587,104.20719082614659
505.0,394.0,43.87261070432787,24.09709893751604,0.0,0.0,1.0, 35Lam Tau,04h00m40.8s,+12d29m25s,43.79432169968392,24.040509429285343
735.0,778.0,31.794817255409303,136.48104955604526,0.0,0.0,1.0,   Chi Car,07h56m46.7s,-52d58m56s,31.80368704886709,136.54394106086266
613.0,347.0,56.21266089966071,356.6830508117248,0.0,0.0,1.0, 86Gam Cet,02h43m18.0s,+03d14m09s,56.16363180109673,356.7224522082229
978.0,475.0,41.459257035503065,226.5477612806929,0.0,0.0,1.0,   Eps Gru,22h48m33.3s,-51d19m01s,41.405438924841185,226.6109195651863
738.0,370.0,68.86522999406378,310.19731190544013,0.0,0.0,1.0, 52Tau Cet,01h44m04.1s,-15d56m15s,68.87322201107841,310.1063124592925
455.0,399.0,35.00094636884368,28.606141501574612,0.0,0.0,1.0, 74Eps Tau,04h28m37.0s,+19d10m49s,34.98855443358047,28.588153647935854
606.0,453.0,65.86291864826096,33.09672676927691,0.0,0.0,1.0, 23Del Eri,03h43m14.9s,-09d45m48s,65.88936165947119,33.26463564928629
438.0,509.0,33.54531204777055,50.90212751339219,0.0,0.0,1.0, 39Lam Ori,05h35m08.3s,+09d56m03s,33.483749896845,50.987004000291584
543.0,603.0,46.75565254826229,78.9457108371343,0.0,0.0,1.0, 14Zet Lep,05h46m57.3s,-14d49m19s,46.76301851967013,78.88792477344191
1049.0,596.0,23.643709689648148,205.73240559794675,0.0,0.0,1.0,   Del Pav,20h08m43.6s,-66d10m55s,23.67740409337469,205.7761164563043
681.0,562.0,71.34745400978339,105.79182129434638,0.0,0.0,1.0, 41Ups4Eri,04h17m53.7s,-33d47m54s,71.32455278000864,105.79398034368099
808.0,280.0,48.56663718830638,293.5964011017994,0.0,0.0,1.0,  8Iot Cet,00h19m25.7s,-08d49m26s,48.5898676423243,293.66632719910785
824.0,537.0,68.05944245762464,194.44656696054483,0.0,0.0,1.0,   Phi Eri,02h16m30.6s,-51d30m44s,68.10483158596537,194.48686973091657
523.0,546.0,48.17807205960946,63.18682429505518,0.0,0.0,1.0, 20Tau Ori,05h17m36.4s,-06d50m40s,48.255308999842,63.10530163974558
582.0,619.0,50.67915559580744,88.94171722848827,0.0,0.0,1.0, 13Gam Lep,05h44m27.8s,-22d26m54s,50.55748408299102,88.95839826805803
550.0,369.0,49.58252871392854,13.239641381143784,0.0,0.0,1.0,  1Omi Tau,03h24m48.8s,+09d01m44s,49.58522421976693,13.102098915161063
734.0,323.0,59.866477389935724,313.2899522908539,0.0,0.0,1.0, 45The Cet,01h24m01.4s,-08d11m00s,59.81133626751841,313.40093677498965
642.0,774.0,30.23712547825376,118.87977019333307,0.0,0.0,1.0,          ,07h45m15.3s,-37d58m07s,30.286040447585822,118.93582175610202
746.0,810.0,25.508714981347197,138.26046705122332,0.0,0.0,1.0,          ,08h40m17.6s,-52d55m19s,25.429654526347363,138.2547166884457
643.0,236.0,40.33015848104172,334.81000452923803,0.0,0.0,1.0, 99Eta Psc,01h31m29.0s,+15d20m45s,40.29339396384326,334.6913230666666
472.0,339.0,33.631712123366476,16.227686738833,0.0,0.0,1.0, 27    Tau,03h49m09.7s,+24d03m12s,33.63227549070715,16.122607840014773
519.0,265.0,32.25686527743634,359.87500522158746,0.0,0.0,1.0, 41    Ari,02h49m59.0s,+27d15m38s,32.18800303827796,359.8713888420241
1052.0,536.0,26.13941070615553,215.74362511848213,0.0,0.0,1.0,   Bet Ind,20h54m48.6s,-58d27m15s,26.175722942895643,215.73719132703454
476.0,403.0,39.11312281204983,28.171302269894102,0.0,0.0,1.0, 54Gam Tau,04h19m47.6s,+15d37m39s,39.099547060996656,28.107288647720768
922.0,307.0,39.835602979414304,267.10237343712186,0.0,0.0,1.0, 88    Aqr,23h09m26.8s,-21d10m21s,39.81610801729408,266.9951720257684
489.0,474.0,43.727486568442544,43.819029367508925,0.0,0.0,1.0,  3Pi 4Ori,04h51m12.4s,+05d36m18s,43.775045343333815,43.81155018197986
845.0,185.0,28.89124553317809,293.81825396013227,0.0,0.0,1.0,  6Gam Psc,23h17m09.9s,+03d16m56s,28.90856555046442,293.7854463009158
673.0,472.0,79.248178465982,38.17829785204969,0.0,0.0,1.0, 16Tau4Eri,03h19m31.0s,-21d45m28s,79.10216750448653,37.95861189380225
827.0,820.0,20.92762495129074,151.3461805267251,0.0,0.0,1.0,          ,09h45m14.8s,-62d30m28s,20.94202303273402,151.3697872008765
837.0,527.0,66.72896178519494,201.7936559416705,0.0,0.0,1.0,   Chi Eri,01h55m57.5s,-51d36m32s,66.63726155745496,201.87074121232706
476.0,334.0,33.836762559682114,14.982473581147486,0.0,0.0,1.0, 17    Tau,03h44m52.5s,+24d06m48s,33.82017131412683,14.966000328446743
535.0,612.0,44.49160332427992,79.6767986068102,0.0,0.0,1.0, 16Eta Lep,05h56m24.3s,-14d10m04s,44.44657479118933,79.66158113547733
500.0,488.0,45.817832828051394,47.297154424204024,0.0,0.0,1.0,  8Pi 5Ori,04h54m15.1s,+02d26m26s,45.80050664699983,47.40090406217538
712.0,353.0,65.4922394538535,322.74167580333244,0.0,0.0,1.0, 55Zet Cet,01h51m27.6s,-10d20m06s,65.52508161335565,322.64482765942165
613.0,442.0,66.63713168120543,27.275743352400013,0.0,0.0,1.0, 18Eps Eri,03h32m55.8s,-09d27m30s,66.73233708969055,27.241364319660644
659.0,781.0,29.744118893011407,122.26568345132256,0.0,0.0,1.0,          ,07h52m13.0s,-40d34m33s,29.74113552450099,122.26598967391037
911.0,228.0,29.963620101622947,279.44522291056967,0.0,0.0,1.0, 73Lam Aqr,22h52m36.9s,-07d34m47s,29.982206373210538,279.51026459335395
545.0,368.0,48.65688323156468,13.713094552094073,0.0,0.0,1.0,  2Xi  Tau,03h27m10.2s,+09d43m58s,48.77873215641901,13.756166681483998
792.0,680.0,48.87576897391029,152.76735027815963,0.0,0.0,1.0,   Bet Dor,05h33m37.5s,-62d29m23s,48.801500401198886,152.86591206400342
981.0,632.0,32.51301532631303,194.5912005026994,0.0,0.0,1.0,   Nu  Oct,21h41m28.5s,-77d23m24s,32.50289303681304,194.7118223603747
466.0,399.0,37.03997899505065,27.965367059886198,0.0,0.0,1.0, 61Del1Tau,04h22m56.1s,+17d32m33s,37.04585119451521,27.950221098914785
819.0,773.0,30.102846024643174,152.3350751695184,0.0,0.0,1.0,   Bet Vol,08h25m44.2s,-66d08m13s,30.1953678675395,152.35430425109396
